project_full_name,fix_commit_hash,buggy_commit_hash,bug_id,bug_type,number_loc_added,number_loc_deleted
unitaryfund/mitiq,6f66672740d1322995916dbeb1ffc2f94403baac,6f66672740d1322995916dbeb1ffc2f94403baac^1,1705,Classical,4,2
aspuru-guzik-group/tequila,d08a1ab5af20263cd2985036ac14e2ed127894a3,d08a1ab5af20263cd2985036ac14e2ed127894a3^1,1721,Classical,1,1
aspuru-guzik-group/tequila,fd69d263e63ab8a7e05dfcb2776d486f2b964d07,fd69d263e63ab8a7e05dfcb2776d486f2b964d07^1,1722,Quantum,207,074
aspuru-guzik-group/tequila,30eba3a9bfcdf2062a2f7808c520d1a7c4bd1236,30eba3a9bfcdf2062a2f7808c520d1a7c4bd1236^1,1723,Quantum,4,1
aspuru-guzik-group/tequila,7f5a90d27de533c48637a0399f482390b7d6c0a1,7f5a90d27de533c48637a0399f482390b7d6c0a1^1,1726,Quantum,122,40
aspuru-guzik-group/tequila,4c08588ab73c8a23537596a728a4b8f489ec4048,4c08588ab73c8a23537596a728a4b8f489ec4048^1,1727,Quantum,248,19
aspuru-guzik-group/tequila,2790f8ee8bc6564a3482d0d2176c743ab5b9e3d7,2790f8ee8bc6564a3482d0d2176c743ab5b9e3d7^1,1729,Quantum,133,89
aspuru-guzik-group/tequila,27ac6d02a4f7020a1fb2a2c5fa8562d77d1662fd,27ac6d02a4f7020a1fb2a2c5fa8562d77d1662fd^1,1733,Quantum,70,59
aspuru-guzik-group/tequila,69c3d3fa43f4ebe79cc73cef79f3ee18677e2344,69c3d3fa43f4ebe79cc73cef79f3ee18677e2344^1,1734,Classical,8,5
aspuru-guzik-group/tequila,2fab2353ed96acdc80bdc65eccac43031b98180b,2fab2353ed96acdc80bdc65eccac43031b98180b^1,1735,Classical,77,54
aspuru-guzik-group/tequila,a67fe808c165c5f30a30d9745cfb8155b47c7eca,a67fe808c165c5f30a30d9745cfb8155b47c7eca^1,1736,Quantum,15,1
aspuru-guzik-group/tequila,be70211e1b4cad4326f01f9b2f790643255a7aaa,be70211e1b4cad4326f01f9b2f790643255a7aaa^1,1738,Quantum,18,5
aspuru-guzik-group/tequila,4381d315ea1f0b17cbb68243f756d83b73d759d0,4381d315ea1f0b17cbb68243f756d83b73d759d0^1,1742,Quantum,22,22
aspuru-guzik-group/tequila,0637f83c354c70bac95acef5a41ffa7cf3c48e3b,0637f83c354c70bac95acef5a41ffa7cf3c48e3b^1,1744,Quantum,1,1
aspuru-guzik-group/tequila,9b673ce6df5dc35eacb2f8a4bfae76ff5b243a86,9b673ce6df5dc35eacb2f8a4bfae76ff5b243a86^1,1745,Classical,9,2
qulacs/qulacs,b5280ea22153bf0d8079f2fd59bb26c1eefcf9c3,b5280ea22153bf0d8079f2fd59bb26c1eefcf9c3^1,1750,Classical,1,1
qulacs/qulacs,93d44536cc8e58bc956cc64eccf27d0b61d68b9b,93d44536cc8e58bc956cc64eccf27d0b61d68b9b^1,1752,Classical,6,6
qulacs/qulacs,0e6c4b22678effed137333d376474c06207114e4,0e6c4b22678effed137333d376474c06207114e4^1,1762,Classical,1,1
qulacs/qulacs,acc9cd6b7d1e87da9dc301c7a8b7a7c06bd8ee43,acc9cd6b7d1e87da9dc301c7a8b7a7c06bd8ee43^1,1763,Quantum,654,216
qulacs/qulacs,969d1457316013a8719674226bed2e5553e2486a,969d1457316013a8719674226bed2e5553e2486a^1,1774,Classical,177,80
qulacs/qulacs,886e1893a7d5bf041c7c94bf5bb120bec01a64a4,886e1893a7d5bf041c7c94bf5bb120bec01a64a4^1,1775,Classical,1,1
qulacs/qulacs,ee001c1a63842fea1a14b5d954d88765faff0355,ee001c1a63842fea1a14b5d954d88765faff0355^1,1780,Classical,45,4
qulacs/qulacs,2df908d4ea20bf47d0e07c18ed0a3ec7a5f17bf5,2df908d4ea20bf47d0e07c18ed0a3ec7a5f17bf5^1,1786,Classical,1,1
qulacs/qulacs,e44ed018d83c3d23ffa4309bcb9edb803845bcbf,e44ed018d83c3d23ffa4309bcb9edb803845bcbf^1,1797,Quantum,166,29
